epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,1.3784668482840061,0.8043112397193909,0.815286778170487,0.0,0.0,0.0,3.9999999999999996e-05,0.8901439424230307,0.8894150417827298,0.9919650485337768,0.9824724992076851
2,0.9519101667471908,0.7286521717905998,0.762898286868786,-0.42655668153681536,-0.07565906792879107,-0.05238849130170098,6.999999999999993e-05,0.9263294682127149,0.9128133704735376,0.9957174530443635,0.9847445270462559
3,0.8559159358794038,0.6782810777425766,0.7501108009239723,-0.09599423086778691,-0.0503710940480232,-0.012787485944813715,0.0001,0.9510195921631347,0.9162952646239554,0.9972833835643351,0.9867532361388904
4,0.8022676552222534,0.64678143709898,0.7278470027035681,-0.05364828065715044,-0.03149964064359667,-0.02226379822040425,9.997404066775285e-05,0.961015593762495,0.9210306406685237,0.9978493458007903,0.9884504186433445
5,0.7591360385783694,0.6273541525006294,0.7172344183099681,-0.043131616643883985,-0.019427284598350525,-0.010612584393599911,9.989618989876661e-05,0.9655137944822071,0.9270194986072423,0.9982049508825119,0.9892497441351848
6,0.7315326734361324,0.6101765796542168,0.697344368901746,-0.027603365142237046,-0.017177572846412636,-0.019890049408222144,9.976652934774728e-05,0.9689124350259896,0.9341225626740947,0.9984840806709712,0.9903062499304041
7,0.7117407865483653,0.60045205950737,0.7018992222588638,-0.01979188688776712,-0.009724520146846771,0.004554853357117805,9.958519501070808e-05,0.9726109556177529,0.9238161559888579,0.9984646098742839,0.9906360440769593
8,0.6957884987985546,0.5938423201441765,0.6929947610559135,-0.015952287749810612,-0.006609739363193534,-0.008904461202950298,9.935237708232756e-05,0.9753098760495802,0.9306406685236769,0.998676555299493,0.9917077323324526
9,0.6804914618418976,0.5842289671301841,0.6825945747309717,-0.015297036956657073,-0.009613353013992354,-0.010400186324941774,9.906831975646277e-05,0.9767093162734906,0.9350974930362117,0.9988131743205666,0.9901713037427035
10,0.6683566003021869,0.5825264230370522,0.6765281886890017,-0.012134861539710662,-0.0017025440931319746,-0.006066386041970073,9.873332097002275e-05,0.9780087964814075,0.9377437325905292,0.9986966433833445,0.9907294658458772
11,0.6589500931176272,0.5845451548695564,0.7029346063219267,-0.00940650718455971,0.002018731832504228,0.02640641763292506,9.834773209047419e-05,0.9758096761295482,0.9293871866295265,0.9988655329088102,0.9871002364299206
12,0.6503934489393776,0.5692383408546448,0.6677644643290289,-0.00855664417824964,-0.01530681401491163,-0.03517014199289781,9.791195754730533e-05,0.9784086365453818,0.9415041782729805,0.9991560158724678,0.990834038362475
13,0.6432546731084585,0.5714514032006264,0.6829228668377317,-0.007138775830919042,0.00221306234598162,0.015158402508702817,9.74264544078354e-05,0.978608556577369,0.9328690807799442,0.9991178494383891,0.9885187792945516
14,0.6367399497804317,0.5577236518263817,0.6484059383129251,-0.006514723328026828,-0.013727751374244646,-0.03451692852480659,9.689173189781402e-05,0.9818072770891644,0.944150417827298,0.999148615516929,0.993518338533327
15,0.6298032369125973,0.5628669172525406,0.6709817606827309,-0.0069367128678343715,0.005143265426158838,0.02257582236980571,9.630835086731391e-05,0.9811075569772091,0.935933147632312,0.9989878816342974,0.9876851266297143
16,0.6248230659826235,0.5535841464996338,0.6578416659914214,-0.004980170929973826,-0.009282770752906733,-0.0131400946913095,9.567692320247625e-05,0.9833066773290684,0.9408077994428969,0.9992749706566063,0.9904935353664679
17,0.6190709930590608,0.5532474428415298,0.6598714836712541,-0.005752072923562723,-0.0003367036581040095,0.0020298176798327905,9.4998111183727e-05,0.982906837265094,0.9419220055710307,0.9991974977425042,0.9885760422357615
18,0.6146153914318844,0.5505499929189682,0.6530523711237414,-0.004455601627176398,-0.002697449922561601,-0.006819112547512773,9.427262679113594e-05,0.9842063174730108,0.9434540389972145,0.9993360273442445,0.9915086196111669
19,0.610355440696532,0.5529159158468246,0.6618291036836033,-0.004259950735352347,0.002365922927856423,0.008776732559861888,9.350123095764832e-05,0.98390643742503,0.9383008356545961,0.9992173384798702,0.9882889635322586
20,0.6066260508854281,0.5540650114417076,0.6551358740905235,-0.0037293898111039336,0.001149095594882965,-0.006693229593079719,9.268473277097031e-05,0.9842063174730108,0.9398328690807799,0.9993022945059443,0.9915187131169402
21,0.6037460751831532,0.5440219298005105,0.6272279476297313,-0.0028799757022749395,-0.01004308164119716,-0.02790792646079221,9.18239886249488e-05,0.9850059976009596,0.9472144846796657,0.9993213239044536,0.9939271750003614
22,0.6011840733276173,0.5481528088450431,0.6558235041026411,-0.0025620018555359003,0.004130879044532687,0.02859555647290979,9.09199013213318e-05,0.9853058776489404,0.9406685236768803,0.9993719606856798,0.9902247117814925
23,0.5969825050031597,0.5492427155375481,0.6578933863804258,-0.004201568324457505,0.0010899066925049716,0.002069882277784707,8.997341912285438e-05,0.9838064774090364,0.938857938718663,0.9993352709525447,0.9906910505219214
24,0.5946731977164745,0.5444635957479477,0.6506116575208204,-0.002309307286685214,-0.004779119789600439,-0.00728172885960543,8.898553475864235e-05,0.9861055577768892,0.9419220055710307,0.9993358335868174,0.9899995572268847
25,0.5913685717704621,0.5437834471464157,0.6499737460037758,-0.0033046259460124405,-0.0006801486015319824,-0.0006379115170446203,8.795728438297576e-05,0.9860055977608957,0.9402506963788301,0.999365342049696,0.9910068931815138
26,0.5904232829131864,0.5397331357002259,0.6409544780336577,-0.000945288857275739,-0.004050311446189836,-0.009019267970118094,8.688974648850607e-05,0.9872051179528188,0.9434540389972145,0.9994545807522768,0.9905139282811418
27,0.5865498601712964,0.5380360811948777,0.6457245308777382,-0.0038734227418899536,-0.0016970545053481834,0.004770052844080497,8.578404077506775e-05,0.9877049180327869,0.9435933147632312,0.9994124150535703,0.9902263495991246
28,0.58462835916064,0.5350593581795693,0.6268080904566008,-0.0019215010106563568,-0.00297672301530838,-0.01891644042113738,8.464132697526578e-05,0.9872051179528188,0.947075208913649,0.9994637516362673,0.9949753050289362
29,0.5818029222163287,0.5351585894823074,0.621863081537444,-0.002825436944311366,9.923130273814529e-05,-0.004945008919156835,8.346280363807771e-05,0.9881047580967613,0.9501392757660168,0.9993591541456319,0.993583723912991
30,0.5803591583601453,0.5380549520254135,0.6342416693424356,-0.0014437638561833888,0.0028963625431061013,0.012378587804991681,8.224970687174083e-05,0.9877049180327869,0.9452646239554318,0.9995105330886902,0.9937950490036737
31,0.5784408993680369,0.5329547554254532,0.6354858608081423,-0.0019182589921084015,-0.005100196599960305,0.0012441914657066455,8.100330904724528e-05,0.9882047181127549,0.9458217270194986,0.999528745714668,0.9913754684476896
32,0.5773865153843706,0.5376444473862648,0.6408913299955171,-0.0010543839836663071,0.004689691960811593,0.005405469187374834,7.972491746379248e-05,0.98640543782487,0.9427576601671309,0.9995535428875257,0.992098474722612
33,0.5772395640272986,0.5359467193484306,0.6456990858604168,-0.00014695135707198936,-0.0016977280378341897,0.0048077558648996765,7.841587297761924e-05,0.9876049580167933,0.9405292479108636,0.9995335633648169,0.9896999339524855
34,0.5733716528524052,0.5336886897683144,0.6446887563014853,-0.003867911174893379,-0.0022580295801162276,-0.0010103295589315442,7.707754859562416e-05,0.9889044382247101,0.9447075208913649,0.9995144627407728,0.9900639606385084
35,0.5712855216115713,0.5305789902806282,0.6413093825866436,-0.0020861312408338994,-0.003109699487686246,-0.003379373714841649,7.571134803527312e-05,0.9888044782087165,0.9462395543175487,0.9995883770156291,0.9892323387141084
36,0.5708794163709338,0.534190072119236,0.6452290333550552,-0.0004061052406375554,0.0036110818386078103,0.003919650768411609,7.431870425229426e-05,0.9879048380647741,0.9428969359331476,0.9996506200095906,0.9910527064131816
37,0.5698786352507093,0.5341102555394173,0.6510172609625191,-0.0010007811202245032,-7.981657981870338e-05,0.005788227607463892,7.290107793770403e-05,0.9878048780487805,0.944150417827298,0.999617008676524,0.9886487584936208
38,0.5675551166588609,0.5292942494153976,0.6513883163189066,-0.002323518591848317,-0.004816006124019667,0.0003710553563874841,7.145995598574516e-05,0.9899040383846461,0.9430362116991643,0.999724566498828,0.9880877038108653
39,0.5660902236334302,0.5354583755135536,0.6438246965408325,-0.0014648930254307357,0.006164126098155975,-0.007563619778074071,6.999684993433916e-05,0.987405037984806,0.9444289693593315,0.9996283246465443,0.9892607327049672
40,0.5641081653196703,0.5289239779114723,0.6369533949884875,-0.00198205831375986,-0.006534397602081299,-0.006871301552345055,6.851329437969216e-05,0.9897041183526589,0.9458217270194986,0.9996110033945603,0.9923045711249578
41,0.5634811825372956,0.5289154574275017,0.6363970000168373,-0.0006269827823747187,-8.520483970597681e-06,-0.0005563949716501648,6.701084536671542e-05,0.9906037584966013,0.949025069637883,0.999603250136238,0.9902150783802279
42,0.5626400721005418,0.5284160405397416,0.6350684720894386,-0.0008411104367538336,-0.0004994168877601179,-0.0013285279273986816,6.54910787569485e-05,0.9903038784486206,0.9451253481894151,0.9995942274759473,0.9917277319207499
43,0.5610952621156519,0.5299428105354309,0.6536917337055864,-0.0015448099848899277,0.0015267699956893477,0.0186232616161478,6.395558857569889e-05,0.9900039984006398,0.9416434540389972,0.9996063626312873,0.9891970496727056
44,0.5603323888710954,0.5296762362122536,0.6574986926440535,-0.0007628732445564834,-0.00026657432317733765,0.0038069589384670532,6.240598534012943e-05,0.9899040383846461,0.9410863509749303,0.9996551339460625,0.9879282799261316
45,0.5584783682768996,0.5239174276590347,0.6371652196193563,-0.0018540205941958154,-0.005758808553218864,-0.020333473024697124,6.0843894370048636e-05,0.991703318672531,0.9449860724233984,0.9997167674806691,0.9907576650868192
46,0.5574457494711335,0.5265633627772331,0.6361365791024833,-0.0010326188057661057,0.002645935118198439,-0.001028640516873014,5.927095408317198e-05,0.9913034786085566,0.947075208913649,0.9997331099602079,0.9932221212776687
47,0.5568847678263079,0.5251565217971802,0.6347920421896309,-0.0005609816448255422,-0.001406840980052948,-0.001344536912852412,5.768881427665216e-05,0.9908036785285885,0.9455431754874651,0.9997443227761068,0.9927031304239959
48,0.5548375033858147,0.5270363092422485,0.6437705138633991,-0.0020472644404931906,0.0018797874450683372,0.008978471673768196,5.609913439666693e-05,0.9902039184326269,0.9420612813370474,0.9997023803572225,0.9909388365368734
49,0.555507848716595,0.5253492638468742,0.6337479722910914,0.0006703453307802532,-0.0016870453953743425,-0.010022541572307753,5.450358179788985e-05,0.9904038384646141,0.9463788300835655,0.9997402455357638,0.9909536166860415
50,0.5546075349504297,0.524113829433918,0.6285118296228606,-0.0009003137661652838,-0.001235434412956149,-0.005236142668230803,5.29038299946655e-05,0.991203518592563,0.9497214484679666,0.9996327946553397,0.9925546200681146
51,0.5539611930196936,0.5251568421721459,0.6483122192580124,-0.000646341930736094,0.001043012738227822,0.01980038963515185,5.130155690572404e-05,0.9901039584166333,0.9428969359331476,0.9997804201010335,0.9882390192014042
52,0.5528635724701665,0.5267111837863923,0.6416817697985419,-0.0010976205495271119,0.0015543416142463906,-0.006630449459470555,4.9698443094276444e-05,0.9910035985605757,0.9458217270194986,0.9997283044622106,0.9900643296263962
53,0.550836203281175,0.522752296924591,0.6389598517582334,-0.00202736918899149,-0.003958886861801236,-0.002721918040308413,4.809617000533509e-05,0.991203518592563,0.9448467966573816,0.9996781980956635,0.9907002231134966
54,0.5498550525781783,0.5229311883449554,0.6172254887120477,-0.000981150702996647,0.0001788914203644243,-0.0217343630461857,4.649641820211075e-05,0.9915033986405438,0.9502785515320334,0.9997054915782102,0.9942219858934133
