epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,current_lr,val_acc,test_acc,val_auc,test_auc
1,2.183745597573844,2.1699411718151236,2.1864560696116664,0.0,0.0,0.0,6.000000000000022e-06,0.15793682526989206,0.19220055710306408,0.7487378383891167,0.6656248625406825
2,2.1469167294827374,2.1203371301481995,2.1434621308979236,-0.036828868091106415,-0.049604041666924115,-0.042993938713742796,1.050000000000002e-05,0.3403638544582167,0.34721448467966576,0.8935654236349619,0.8187827032478282
3,2.0865990580482916,2.049288870413092,2.0792682840113055,-0.060317671434445774,-0.07104825973510742,-0.06419384688661811,1.5e-05,0.5294882047181128,0.534958217270195,0.9375051753166613,0.8753801577804574
4,2.010580155829137,1.971542633032497,2.0058726281450507,-0.07601890221915442,-0.07774623738059505,-0.07339565586625474,1.4996328983318598e-05,0.604358256697321,0.6002785515320335,0.9521701921421809,0.9050924249770276
5,1.9359993985430761,1.8992764663092698,1.937088926633199,-0.07458075728606106,-0.07226616672322717,-0.06878370151185176,1.4985319783663947e-05,0.638344662135146,0.6277158774373259,0.9594044546853255,0.9206116379717559
6,1.86680356413126,1.8317909723595729,1.8718723226011844,-0.0691958344118162,-0.06748549394969694,-0.06521660403201457,1.4966983948166256e-05,0.6650339864054379,0.6582172701949861,0.9641963860837117,0.9298472208359659
7,1.8013017995452338,1.7687354540523095,1.8108738409845453,-0.06550176458602608,-0.06305551830726341,-0.06099848161663912,1.494134070858494e-05,0.7093162734906038,0.716016713091922,0.9677455213453366,0.9358432897640098
8,1.740804233672944,1.7097192384019684,1.7536554482945226,-0.06049756587228994,-0.0590162156503411,-0.05721839269002271,1.49084169611372e-05,0.7441023590563774,0.7593314763231198,0.9705877142634597,0.9405194602936413
9,1.6841384468769485,1.6544871994211703,1.6997980883246975,-0.05666578679599543,-0.05523203898079809,-0.0538573599698251,1.486824723828767e-05,0.7732906837265094,0.781058495821727,0.9729927369048256,0.94474115513027
10,1.6313119014217095,1.6028517167779464,1.649461079062077,-0.052826545455239016,-0.05163548264322393,-0.050337009262620525,1.4820873672528463e-05,0.8003798480607757,0.7977715877437326,0.9750144736203923,0.9487597984843377
11,1.581356563351371,1.554278630244581,1.6023151037985819,-0.04995533807033836,-0.04857308653336534,-0.047145975263495066,1.4766345952188277e-05,0.8237704918032787,0.8135097493036212,0.9768281764903826,0.952362576591761
12,1.5351729094982147,1.508700348153899,1.557666448124668,-0.04618365385315637,-0.04557828209068204,-0.04464865567391385,1.4704721269315914e-05,0.8457616953218713,0.8243732590529248,0.9784476971410485,0.9557255089737501
13,1.491152268072421,1.465903579434262,1.5156898059343036,-0.04402064142579376,-0.04279676871963689,-0.041976642190364455,1.4636064259693885e-05,0.8617552978808477,0.8325905292479109,0.9798674591219565,0.9588199012996489
14,1.4501743516461416,1.4256025628198552,1.476342755451537,-0.04097791642627935,-0.04030101661440688,-0.039347050482766655,1.4560446935044383e-05,0.8718512594962016,0.840807799442897,0.9811974418938951,0.9617302406904784
15,1.4111877490173688,1.3877510420883759,1.4389590087689852,-0.03898660262877285,-0.03785152073147935,-0.03738374668255173,1.4477948607498906e-05,0.8813474610155938,0.8474930362116991,0.9823548327167061,0.9644424616097275
16,1.3754759093915874,1.352116519891763,1.4031057127735072,-0.035711839625781394,-0.03563452219661278,-0.03585329599547804,1.4388655806410747e-05,0.8875449820071971,0.8557103064066852,0.9834024182389679,0.9670241074116215
17,1.3410399965941906,1.3184854712667344,1.3697723045683743,-0.03443591279739677,-0.03363104862502864,-0.033333408205132864,1.4292662187597703e-05,0.8932427029188325,0.8610027855153203,0.9843757220256385,0.969428017055093
18,1.3094485500319437,1.286723450769352,1.3381936361915188,-0.03159144656224688,-0.031762020497382526,-0.03157866837685552,1.4190068435110067e-05,0.898140743702519,0.864066852367688,0.9852913608258044,0.9717124421076532
19,1.2786983664740215,1.2568104749993434,1.3081577828055935,-0.03075018355792225,-0.02991297577000851,-0.030035853385925293,1.4080982155626968e-05,0.90343862455018,0.8674094707520892,0.9861281046212329,0.9737684596366604
20,1.249764371155338,1.2286428937429115,1.2798970665848046,-0.02893399531868357,-0.02816758125643193,-0.02826071622078885,1.3965517765591732e-05,0.9086365453818472,0.8701949860724234,0.9869208424194293,0.9757088501290596
21,1.2233555166220123,1.2020043934447855,1.2533481246546696,-0.026408854533325643,-0.026638500298125978,-0.026548941930135017,1.384379637120483e-05,0.912734906037585,0.8729805013927576,0.9876545430682016,0.9774802624802919
22,1.198083932596174,1.1768859292887435,1.2279840519553737,-0.02527158402583818,-0.02511846415604202,-0.02536407269929586,1.3715945641400414e-05,0.9156337465013994,0.8743732590529248,0.9883176702671318,0.9792111425758018
23,1.1744368448853493,1.1530005267903776,1.2043486373466359,-0.0236470877108248,-0.023885402498365904,-0.02363541460873786,1.3582099673938973e-05,0.9179328268692523,0.8766016713091922,0.9889418526520757,0.9807498854118157
24,1.1521778154102238,1.1305109986776039,1.1816435487646806,-0.02225902947512548,-0.022489528112773716,-0.0227050885819553,1.3442398854757466e-05,0.920531787285086,0.8784122562674095,0.9895108502118926,0.9822240258741132
25,1.1310258013280956,1.1091583197629904,1.1605097829249866,-0.02115201408212819,-0.021352678914613454,-0.021133765839693952,1.3296989710723765e-05,0.9226309476209517,0.8799442896935933,0.99004758455089,0.9835347234482347
26,1.1106406778774478,1.0890753918056246,1.1404137423163967,-0.020385123450647802,-0.02008292795736577,-0.020096040608589938,1.3146024755950286e-05,0.924030387844862,0.881058495821727,0.9905295376784099,0.9846354850103194
27,1.0914487690580161,1.0700430621074726,1.1213632257361161,-0.01919190881943167,-0.01903232969815205,-0.019050516580280563,1.2989662331827691e-05,0.9263294682127149,0.8825905292479108,0.9909783799560579,0.9856096295520528
28,1.0739852920682593,1.0520326759241805,1.103437998838592,-0.01746347698975681,-0.018010386183292093,-0.01792522689752407,1.2828066440946623e-05,0.9289284286285486,0.8838440111420612,0.9914070186953217,0.9864144126237703
