epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.1894745007157326,2.169233512878418,2.1769228310420594,0.0,0.0,0.0,3.9999999999999996e-05,0.19872051179528188,0.22701949860724233,0.7719922919205773,0.7724770973939044
2,2.145602225579999,2.114637517929077,2.120111185928871,-0.04387227513573366,-0.05459599494934109,-0.05681164511318837,6.999999999999993e-05,0.4256297481007597,0.4224233983286908,0.8888438621083168,0.9177648360287688
3,2.0834152353080837,2.0407535552978517,2.0350632338688293,-0.06218699027191521,-0.07388396263122532,-0.08504795206004179,0.0001,0.554078368652539,0.626183844011142,0.9104143099439371,0.9356578798829998
4,2.0105926614593375,1.9632935494184494,1.945215286879704,-0.07282257384874624,-0.07746000587940238,-0.08984794698912535,9.997404066775285e-05,0.5870651739304278,0.649025069637883,0.9192483524777069,0.9406349462618893
5,1.942906761711294,1.8945787966251373,1.865288833091999,-0.0676858997480434,-0.06871475279331207,-0.07992645378770491,9.989618989876661e-05,0.5956617353058776,0.6526462395543176,0.9247420677677122,0.9442900545999634
6,1.884591606868939,1.832596817612648,1.7940651630533153,-0.058315154842355055,-0.06198197901248936,-0.07122367003868368,9.976652934774728e-05,0.6186525389844062,0.6662952646239554,0.9294104874793364,0.9489196188064698
7,1.8332560069181703,1.7771206736564635,1.7283271140065686,-0.05133559995076875,-0.05547614395618439,-0.06573804904674674,9.958519501070808e-05,0.6309476209516194,0.682033426183844,0.9331689853416092,0.9519604108565303
8,1.789051341400905,1.727299526333809,1.671986148275178,-0.04420466551726521,-0.049821147322654635,-0.05634096573139047,9.935237708232756e-05,0.6422431027588964,0.6923398328690807,0.9368059702321546,0.955166502608278
9,1.7474937587976456,1.6810383200645447,1.6194359845128552,-0.04155758260325948,-0.04626120626926422,-0.05255016376232291,9.906831975646277e-05,0.6544382247101159,0.7072423398328691,0.9397270041509209,0.9580785679053674
10,1.7134528265080669,1.639684897661209,1.574869049006495,-0.03404093228957872,-0.041353422403335616,-0.04456693550636026,9.873332097002275e-05,0.6654338264694122,0.7206128133704736,0.9425637662542358,0.9599954673436023
11,1.68079299852252,1.6012870103120804,1.5304993760996852,-0.032659827985546785,-0.038397887349128634,-0.04436967290680971,9.834773209047419e-05,0.6761295481807277,0.7369080779944289,0.9448419220482922,0.9619259767073822
12,1.6531583734534003,1.5669680863618851,1.4932956120063519,-0.027634625069119734,-0.03431892395019531,-0.03720376409333337,9.791195754730533e-05,0.6890243902439024,0.7520891364902507,0.9470398082931067,0.9630500732975104
13,1.6273754140870138,1.5346437871456147,1.4587329913829934,-0.025782959366386526,-0.03232429921627045,-0.034562620623358464,9.74264544078354e-05,0.6970211915233906,0.7577994428969359,0.9491591145486247,0.9642859080109312
14,1.6037669713524254,1.505241906642914,1.4273184825634133,-0.023608442734588397,-0.02940188050270076,-0.03141450881958008,9.689173189781402e-05,0.7094162335065973,0.7715877437325905,0.9510295490710905,0.9650134940098547
15,1.5822349712252617,1.4782577127218246,1.3980777222534706,-0.02153200012716372,-0.026984193921089306,-0.029240760309942715,9.630835086731391e-05,0.7175129948020792,0.7856545961002785,0.9525019157439547,0.9658209168033343
16,1.5638517114249142,1.4524303436279298,1.3708721481520554,-0.018383259800347496,-0.025827369093894825,-0.02720557410141522,9.567692320247625e-05,0.7288084766093562,0.8001392757660167,0.9540602416491889,0.9668633664422747
17,1.545967131514441,1.4291894137859344,1.348363761244149,-0.01788457991047321,-0.023240929841995328,-0.022508386907906353,9.4998111183727e-05,0.7350059976009596,0.8083565459610028,0.9554476401323311,0.9671422799824979
18,1.5298145494677804,1.4076398640871048,1.326251691785352,-0.01615258204666059,-0.021549549698829606,-0.022112069458797068,9.427262679113594e-05,0.7416033586565374,0.8161559888579387,0.9566934303025167,0.9680122757292285
19,1.5153266130523249,1.3877059191465377,1.3077113340640891,-0.014487936415455538,-0.019933944940567105,-0.018540357721262835,9.350123095764832e-05,0.7455017992802879,0.8178272980501393,0.957890375911778,0.9681791736588701
20,1.5012774853543802,1.3695418149232865,1.2897652839792186,-0.014049127697944641,-0.01816410422325121,-0.01794605008487049,9.268473277097031e-05,0.7491003598560576,0.825208913649025,0.9587614602869186,0.9684443356772401
21,1.4894481514665214,1.3519564777612687,1.2718539361296028,-0.011829333887858784,-0.017585337162017822,-0.01791134784961579,9.18239886249488e-05,0.7550979608156737,0.8306406685236769,0.9597941918166991,0.9691792199546434
22,1.4767317020080306,1.3358080357313156,1.2563026198025407,-0.01271644945849082,-0.016148442029953136,-0.015551316327062192,9.09199013213318e-05,0.7564974010395842,0.8342618384401114,0.9607154895240149,0.9695012560458489
23,1.4683825827457688,1.3207789331674575,1.2422290670460667,-0.008349119262261784,-0.015029102563858032,-0.014073552756473928,8.997341912285438e-05,0.7612954818072771,0.8396935933147632,0.9616560502273095,0.9698899787019926
24,1.4565408798781307,1.3068089604377746,1.2290408857937516,-0.011841702867638082,-0.013969972729682922,-0.013188181252315134,8.898553475864235e-05,0.7656937225109957,0.8458217270194986,0.9625210254529496,0.9702884220417604
25,1.4473138045180927,1.2930681198835372,1.2162652303432595,-0.009227075360038084,-0.01374084055423741,-0.012775655450492085,8.795728438297576e-05,0.7707916833266694,0.8481894150417827,0.9633629952109585,0.9707394444617725
26,1.4397423304617405,1.281242448091507,1.2049442529678345,-0.007571474056352168,-0.011825671792030201,-0.011320977375425034,8.688974648850607e-05,0.7731907237105158,0.8522284122562674,0.9640269032128567,0.9710131345245814
27,1.4306274855678731,1.26944198012352,1.1942955625468288,-0.00911484489386738,-0.01180046796798706,-0.010648690421005691,8.578404077506775e-05,0.7764894042383047,0.8532033426183844,0.9647722784648338,0.9712640229107871
28,1.4243299768052318,1.2586931139230728,1.1845088827198949,-0.006297508762641346,-0.010748866200447127,-0.00978667982693393,8.464132697526578e-05,0.7777888844462215,0.8547353760445683,0.9654536573563297,0.9714741286522925
29,1.41648321937431,1.2480213731527328,1.175399476084216,-0.00784675743092178,-0.010671740770340055,-0.00910940663567894,8.346280363807771e-05,0.782686925229908,0.8572423398328691,0.9660157691057962,0.9716904142474954
30,1.4115067385137081,1.238259106874466,1.1661824440133983,-0.004976480860601873,-0.009762266278266818,-0.009217032070817588,8.224970687174083e-05,0.7833866453418633,0.8594707520891365,0.9665803202988441,0.9719502997187924
31,1.4036210707642816,1.2288967430591584,1.1577771778764396,-0.007885667749426561,-0.009362363815307528,-0.008405266136958689,8.100330904724528e-05,0.7859856057576969,0.8618384401114206,0.967202731975919,0.9722560250505219
32,1.3982928608628837,1.2202040016651154,1.1498038439915097,-0.005328209901397818,-0.008692741394042969,-0.007973333884929934,7.972491746379248e-05,0.7868852459016393,0.863091922005571,0.9677154333919424,0.9724734619258038
33,1.3912120072001761,1.2120981723070146,1.1428300306714814,-0.007080853662707609,-0.008105829358100891,-0.0069738133200283325,7.841587297761924e-05,0.7890843662534986,0.8651810584958217,0.9683310267320402,0.9727847406339344
34,1.386456057090651,1.2041848748922348,1.1373675157283913,-0.00475595010952512,-0.007913297414779752,-0.005462514943090024,7.707754859562416e-05,0.7936825269892043,0.8696378830083565,0.9688906401917166,0.9729460534010498
35,1.3815526599911125,1.1965397626161576,1.1307116829115769,-0.004903397099538465,-0.007645112276077226,-0.006655832816814478,7.571134803527312e-05,0.7964814074370252,0.870891364902507,0.9693308123232742,0.9730594470920914
36,1.3774774318391627,1.1897005617618561,1.1248871540201122,-0.004075228151949828,-0.006839200854301453,-0.005824528891464675,7.431870425229426e-05,0.797281087564974,0.8727019498607242,0.9698047926299984,0.9732656726241262
37,1.373870619318702,1.1828233242034911,1.1188502106173286,-0.0036068125204606893,-0.006877237558365001,-0.006036943402783601,7.290107793770403e-05,0.7980807676929228,0.8724233983286908,0.9702169372006293,0.9734105742463564
