epoch,train_loss,val_loss,test_loss,train_delta,val_delta,test_delta,predictor_lr,val_acc,test_acc,val_auc,test_auc
1,2.1802839508110825,2.1641062617301943,2.1702525451265533,0.0,0.0,0.0,1.9999999999999998e-05,0.2414034386245502,0.23036211699164347,0.7815717939734139,0.7232167903862108
2,2.1379674198952587,2.1084003925323485,2.1239672611499656,-0.04231653091582377,-0.055705869197845814,-0.04628528397658771,3.499999999999996e-05,0.4280287884846062,0.4807799442896936,0.9104022761066047,0.8640299744327969
3,2.069113202393055,2.0294592499732973,2.054097635992642,-0.06885421750220377,-0.07894114255905116,-0.06986962515732342,5e-05,0.5385845661735306,0.5597493036211699,0.9395151243389674,0.9024205879279117
4,1.983417615971782,1.9441358417272567,1.97667854407738,-0.08569558642127295,-0.08532340824604057,-0.0774190919152622,4.9987151441615176e-05,0.6136545381847262,0.6137883008356546,0.9520199817440835,0.9185429738654608
5,1.9000090269202536,1.8652250945568085,1.9037296032083446,-0.08340858905152837,-0.07891074717044821,-0.07294894086903536,4.994861924282401e-05,0.6558376649340264,0.6586350974930362,0.9599609775228455,0.9286852310029611
6,1.8232333050532774,1.792219027876854,1.8351647977171273,-0.07677572186697623,-0.07300606667995457,-0.06856480549121735,4.988444381858219e-05,0.7072171131547381,0.7083565459610028,0.9652571739889237,0.9358210398012807
7,1.7520721551369538,1.7245390594005585,1.7715351951533351,-0.07116114991632361,-0.06767996847629543,-0.06362960256379213,4.9794692480047647e-05,0.7428028788484606,0.7516713091922006,0.9692255606169213,0.9417263974321197
8,1.685796168717471,1.6617392361164094,1.7123883674884666,-0.06627598641948285,-0.06279982328414913,-0.05914682766486856,4.967945936398052e-05,0.7679928028788484,0.778133704735376,0.972294730624799,0.9467470510145675
9,1.6246120855212212,1.603202685713768,1.657257840551179,-0.061184083196249794,-0.058536550402641385,-0.05513052693728748,4.953886533400706e-05,0.7987804878048781,0.8005571030640668,0.9748675211859273,0.9512489593287137
10,1.5677889077500864,1.5486588954925538,1.6053575154008537,-0.05682317777113477,-0.05454379022121425,-0.05190032515032539,4.9373057853849895e-05,0.8287684926029588,0.8175487465181058,0.9770148684023119,0.95534247051779
11,1.5144203135913068,1.4977338820695878,1.5566104403857528,-0.05336859415877959,-0.05092501342296596,-0.048747075015100894,4.9182210832659156e-05,0.850859656137545,0.8242339832869081,0.9789034994533315,0.9589390485282959
12,1.4649973786012693,1.4500640988349915,1.5108720721869633,-0.04942293499003747,-0.04766978323459625,-0.045738368198789514,4.896652444260588e-05,0.8643542582966813,0.8311977715877438,0.9805522649242595,0.9621686171228523
13,1.4189262688159943,1.4055325955152511,1.4678542696196457,-0.046071109785275066,-0.04453150331974043,-0.043017802567317576,4.87262249089288e-05,0.8766493402638944,0.8401114206128134,0.982035660925334,0.965140782546967
14,1.3754787025126545,1.3638267189264297,1.4280999981123825,-0.04344756630333979,-0.04170587658882141,-0.039754271507263184,4.846156427265564e-05,0.8855457816873251,0.8465181058495822,0.9833686159063002,0.9677669170081108
15,1.335240746086294,1.3246919721364976,1.3901822690306038,-0.04023795642636041,-0.03913474678993212,-0.037917729081778706,4.817282012624652e-05,0.8941423430627748,0.8545961002785515,0.9845443732259125,0.9702672937428716
16,1.297074560414661,1.288104110956192,1.3545345643471027,-0.0381661856716331,-0.03658786118030566,-0.03564770468350109,4.7860295322437944e-05,0.9005397840863655,0.8589136490250696,0.9856215953355076,0.9725971439653327
17,1.261996888640252,1.253630018234253,1.3207757431885292,-0.035077671774409014,-0.03447409272193891,-0.03375882115857354,4.752431765659237e-05,0.9073370651739304,0.8633704735376044,0.9866199845184762,0.9746873488107202
18,1.2286232706498017,1.2212508112192153,1.2895129960158775,-0.033373617990450244,-0.032379207015037714,-0.03126274717265165,4.7165239522885744e-05,0.9116353458616553,0.8667130919220055,0.9875072420642028,0.9765589304967036
19,1.1976873058487068,1.1907690584659576,1.2597917606090676,-0.03093596480109495,-0.030481752753257707,-0.02972123540680993,4.678343754469486e-05,0.9152339064374251,0.8697771587743732,0.9883427755422743,0.9784461632565882
20,1.1685808697207407,1.1622080564498902,1.2317572667680938,-0.02910643612796604,-0.02856100201606737,-0.028034493840973784,4.637931217957136e-05,0.9185325869652139,0.8722841225626741,0.9890818189701718,0.9801211380194119
21,1.1415945860472592,1.1352637529373169,1.205569078182352,-0.026986283673481548,-0.026944303512573375,-0.02618818858574179,4.595328729921729e-05,0.9222311075569772,0.8746518105849582,0.9897789402818719,0.9817784994786436
22,1.1157642958516425,1.1099646717309952,1.1811189158209439,-0.025830290195616668,-0.025299081206321627,-0.02445016236140818,4.550580974490175e-05,0.9247301079568173,0.8764623955431755,0.9904081650643817,0.9832135669328621
23,1.091072590513663,1.0862175971269608,1.1576004932666648,-0.024691705337979597,-0.023747074604034468,-0.02351842255427905,4.503734885878669e-05,0.9273290683726509,0.8788300835654597,0.9909784078012751,0.98443728593106
24,1.0689276810735464,1.063738150894642,1.1357151516552628,-0.02214490944011649,-0.02247944623231879,-0.021885341611401987,4.454839599165145e-05,0.9294282287085166,0.8796657381615599,0.9914940670579705,0.9854422003818554
25,1.047384456477382,1.042619174718857,1.1153006265903342,-0.021543224596164423,-0.021118976175785065,-0.02041452506492858,4.403946398753361e-05,0.9321271491403439,0.8811977715877437,0.9919853205194803,0.986274273290858
26,1.0274113929745825,1.0227017730474472,1.0958894943368847,-0.019973063502799482,-0.01991740167140965,-0.019411132253449592,4.351108664582646e-05,0.9342263094762095,0.883008356545961,0.9924201754857099,0.9869219129447809
27,1.0089437072588638,1.003985883295536,1.0779313219004665,-0.018467685715718662,-0.018715889751911297,-0.017958172436418174,4.296381816139737e-05,0.9360255897640943,0.8842618384401114,0.9928255860234236,0.9874197455175597
28,0.9908495330336419,0.9862910017371178,1.060785827965572,-0.01809417422522197,-0.01769488155841814,-0.017145493934894507,4.2398232543313635e-05,0.9370251899240304,0.8852367688022285,0.9932085397557299,0.9878120214511443
29,0.9744186775589531,0.9697370737791061,1.0449740722261627,-0.01643085547468881,-0.016553927958011694,-0.015811755739409294,4.1814923012786194e-05,0.9385245901639344,0.8857938718662952,0.9935513406016229,0.9881107839786498
30,0.9590173622762616,0.9539422407746315,1.0298633123266285,-0.015401315282691508,-0.015794833004474595,-0.015110759899534143,4.121450138096288e-05,0.9401239504198321,0.8867688022284123,0.993867197005107,0.9883732559057555
31,0.9441754201596434,0.9391761392354965,1.0159816310323517,-0.014841942116618156,-0.014766101539135046,-0.013881681294276804,4.05975974072227e-05,0.9420231907237105,0.8877437325905293,0.9941565484568576,0.9885397378130689
32,0.9309925057671287,0.9252655223011971,1.002752462337757,-0.013182914392514733,-0.013910616934299402,-0.013229168694594673,3.9964858138645035e-05,0.9433226709316274,0.8888579387186629,0.994430937075645,0.988693852914917
33,0.9180346524173563,0.912131755053997,0.9905483373280229,-0.012957853349772397,-0.013133767247200057,-0.012204125009734113,3.931694723134719e-05,0.9448220711715314,0.8896935933147633,0.9946856369453848,0.9887808924635735
34,0.905230456285856,0.8997535645961762,0.978897448243766,-0.0128041961315003,-0.012378190457820848,-0.011650889084256932,3.86545442544001e-05,0.9457217113154738,0.8903899721448468,0.9949225734745392,0.988882660846313
35,0.8941421082073991,0.8880251899361611,0.9680482889043873,-0.011088348078456822,-0.011728374660015084,-0.010849159339378689,3.7978343977054666e-05,0.9468212714914035,0.8910863509749304,0.9951330164508335,0.9889419842625831
36,0.8829691633582115,0.8769325897097587,0.9579072060256169,-0.011172944849187627,-0.01109260022640235,-0.010141082878770469,3.728905564002469e-05,0.9478208716513394,0.8912256267409471,0.9953341498710626,0.9889876198716077
37,0.872782224450599,0.8666192442178726,0.9483699983563917,-0.010186938907612464,-0.010313345491886117,-0.009537207669225167,3.658740221159115e-05,0.948920431827269,0.8922005571030641,0.995516261279938,0.9890176559266636
38,0.8629629351198673,0.8567950129508972,0.9393684288551067,-0.009819289330731729,-0.009824231266975403,-0.009001569501284945,3.5874119629308476e-05,0.9492203118752499,0.8924791086350975,0.9956857479259009,0.9890393161150077
39,0.8540223535488952,0.8474795550107956,0.9309405746131107,-0.008940581570972106,-0.009315457940101579,-0.008427854241995991,3.5149956028107535e-05,0.9504198320671732,0.8934540389972145,0.9958482876216213,0.9890422641148674
40,0.84522389925339,0.8387375921010971,0.9229560617742867,-0.008798454295505187,-0.00874196290969853,-0.007984512838824065,3.441567095560545e-05,0.9514194322271091,0.8940111420612813,0.995999279197171,0.9890563173156076
41,0.8382658902555704,0.8305003359913826,0.9155318634263401,-0.00695800899781962,-0.008237256109714486,-0.007424198347946609,3.3672034575445126e-05,0.9520191923230708,0.8949860724233983,0.9961391634833981,0.9890677314858289
42,0.8298561258072202,0.8226940706372261,0.9086251012210188,-0.008409764448350177,-0.007806265354156516,-0.006906762205321271,3.291982685949983e-05,0.9526189524190324,0.8954038997214485,0.9962714460088855,0.9890641225617317
43,0.8222690349952742,0.8153637483716011,0.9021968492146196,-0.0075870908119460845,-0.007330322265625022,-0.006428252006399182,3.215983676979039e-05,0.9534186325469812,0.8966573816155989,0.9963954247154531,0.9890636582948574
44,0.8160268259658054,0.808394855260849,0.8958771434323541,-0.006242209029468704,-0.006968893110752106,-0.006319705782265483,3.13928614309731e-05,0.9538184726109556,0.8973537604456825,0.9965126565857653,0.9890683101739766
45,0.809456464919177,0.8018210157752037,0.8898648763525074,-0.006570361046628448,-0.006573839485645272,-0.0060122670798467,3.061970529426556e-05,0.9545181927229108,0.8983286908077994,0.996622053321037,0.989070340348381
46,0.8035457889464769,0.7956093326210976,0.8846933965025277,-0.005910675972700119,-0.00621168315410614,-0.005171479849979788,2.9841179293690203e-05,0.9553178728508597,0.8986072423398329,0.9967277075879315,0.9890565400860578
